Rang,Joueur,Poste,Age,Valeur,Buts_2021,Passes_2021,Minutes_2021,Buts_2022,Passes_2022,Minutes_2022,Buts_total,Passes_total,Minutes_total
1,Erling Haaland,Avant-Centre,23,180.0,29,8,2388,52,9,4131,189,45,16189
2,Kylian Mbappé,Avant-Centre,24,180.0,39,26,3903,41,10,3564,244,116,24452
3,Vinicius Junior,Ailier Gauche,23,150.0,22,20,4272,23,21,4759,73,69,18064
4,Bukayo Saka,Ailier Droit,21,120.0,12,7,3353,15,11,3744,61,58,17186
5,Victor Osimhen,Avant-Centre,24,120.0,18,6,2310,31,5,3021,97,24,13467
6,Phil Foden,Ailier Gauche,23,110.0,14,11,3184,15,8,2660,81,54,16048
7,Rodrygo,Ailier Droit,22,100.0,9,10,2436,19,11,3851,53,38,13376
8,Rafael Leão,Ailier Gauche,24,90.0,14,12,3201,16,15,3487,66,43,13546
9,Harry Kane,Avant-Centre,30,90.0,27,10,4250,32,5,4302,307,80,39732
10,Khvicha Kvaratskhelia,Ailier Gauche,22,85.0,10,7,2430,14,17,3238,36,41,10720
11,Lautaro Martínez,Avant-Centre,25,85.0,25,4,3292,28,11,4117,129,42,19897
12,Gabriel Martinelli,Ailier Gauche,22,80.0,6,7,2327,15,6,3440,33,20,8231
13,Randal Kolo Muani,Avant-Centre,24,80.0,13,7,3402,23,17,3633,63,42,14356
14,Christopher Nkunku,Deuxième Attaquant,25,80.0,35,20,4271,23,9,2732,95,66,19366
15,Marcus Rashford,Ailier Gauche,25,80.0,5,2,1658,30,11,4300,128,68,24770
16,Luis Díaz,Ailier Gauche,26,75.0,22,11,3956,5,3,1354,76,37,20551
17,Gabriel Jesus,Avant-Centre,26,75.0,13,12,2570,11,8,2347,127,60,20597
18,Jack Grealish,Ailier Gauche,27,75.0,6,4,2730,5,11,3486,54,74,27586
19,Dusan Vlahovic,Avant-Centre,23,70.0,29,6,3679,14,4,2945,95,16,14060
20,Alexander Isak,Avant-Centre,23,70.0,10,3,2761,11,3,1834,94,22,15458
21,Darwin Núñez,Avant-Centre,24,65.0,34,4,2821,15,4,2365,83,24,11792
22,Kingsley Coman,Ailier Gauche,27,65.0,8,6,2085,9,7,2170,60,65,17804
23,Leroy Sané,Ailier Droit,27,65.0,14,15,2977,14,10,2765,110,111,26228
24,Mohamed Salah,Ailier Droit,31,65.0,31,16,4014,30,16,4296,263,133,42397
25,Antony,Ailier Droit,23,60.0,12,10,2535,10,5,3369,36,31,11570
26,Julián Álvarez,Avant-Centre,23,60.0,18,6,2157,17,5,2524,71,37,10656
27,Jonathan David,Avant-Centre,23,60.0,19,0,3648,26,4,3420,95,24,15743
28,Raphinha,Ailier Droit,26,60.0,11,3,2967,10,12,2924,72,50,20745
29,Ousmane Dembélé,Ailier Droit,26,60.0,2,13,1942,8,9,2169,62,70,16549
30,Neymar,Ailier Gauche,31,60.0,13,8,2328,18,17,2361,294,190,40599
31,Cody Gakpo,Ailier Gauche,24,55.0,21,15,3398,20,20,3820,89,64,17037
32,Serge Gnabry,Ailier Droit,28,55.0,17,9,2749,17,12,2572,122,73,22468
33,Raheem Sterling,Ailier Gauche,28,55.0,17,9,3088,9,4,2561,171,134,38951
34,Gonçalo Ramos,Avant-Centre,22,50.0,8,4,2446,27,12,3478,68,25,10196
35,Mykhaylo Mudryk,Ailier Gauche,22,50.0,2,9,866,10,10,2178,12,21,5115
36,João Félix,Deuxième Attaquant,23,50.0,10,6,2049,9,3,2144,72,35,14861
37,Dejan Kulusevski,Ailier Droit,23,50.0,7,11,2363,2,8,2417,60,61,17207
38,Moussa Diaby,Ailier Droit,24,50.0,17,14,3578,14,11,3886,61,61,17120
39,Diogo Jota,Ailier Gauche,26,50.0,21,8,3572,7,8,1394,112,57,21986
40,Heung-min Son,Ailier Gauche,31,50.0,24,10,3526,14,6,3788,210,94,39740
41,Richarlison,Avant-Centre,26,48.0,11,5,2749,3,4,1467,81,34,21998
42,Rasmus Højlund,Avant-Centre,20,45.0,12,1,1782,16,7,2551,44,12,6826
43,Jadon Sancho,Ailier Gauche,23,45.0,5,3,2478,7,3,2432,86,81,18126
44,Yéremy Pino,Ailier Droit,20,40.0,7,4,2222,4,7,2971,18,12,6597
45,Karim Adeyemi,Ailier Gauche,21,40.0,23,9,2988,9,6,1870,80,50,11985
46,Mikel Oyarzabal,Ailier Gauche,26,40.0,15,4,2548,4,1,1453,86,51,23445
47,Federico Chiesa,Ailier Gauche,25,40.0,4,4,1205,4,6,1483,67,49,20188
48,Tammy Abraham,Avant-Centre,25,40.0,27,5,4257,9,7,3185,161,44,25578
49,Ollie Watkins,Avant-Centre,27,40.0,11,2,3045,16,6,3315,118,48,27304
50,Romelu Lukaku,Avant-Centre,30,40.0,15,2,2748,14,7,1988,288,94,43874
51,Michael Olise,Ailier Droit,21,38.0,4,9,1564,2,11,3000,21,38,12153
52,Anthony Gordon,Ailier Gauche,22,38.0,4,3,2676,4,0,1637,32,19,9565
53,Jarrod Bowen,Ailier Droit,26,38.0,18,13,4090,13,8,4245,96,46,23102
54,Elye Wahi,Avant-Centre,20,35.0,10,2,1931,19,6,2530,35,9,5676
55,Ansu Fati,Ailier Gauche,20,35.0,6,1,573,10,4,1824,33,13,4957
56,Amine Gouiri,Avant-Centre,23,35.0,12,10,3202,17,8,3441,63,31,13151
57,Bryan Mbeumo,Ailier Droit,24,35.0,8,7,3055,9,8,2937,56,40,15952
58,Giacomo Raspadori,Deuxième Attaquant,23,35.0,10,6,2933,6,5,1351,67,22,13493
59,Harvey Barnes,Ailier Gauche,25,35.0,11,14,3205,13,3,3247,79,55,21384
60,Loïs Openda,Avant-Centre,23,35.0,24,6,4067,21,4,2800,64,22,11635
61,Ivan Toney,Avant-Centre,27,35.0,14,6,3120,21,5,3063,165,59,28388
62,Leandro Trossard,Ailier Gauche,28,35.0,8,3,2874,8,13,2425,103,53,25792
63,Lionel Messi,Ailier Droit,36,35.0,11,15,2873,29,21,4021,718,340,72312
64,Vitor Roque,Avant-Centre,18,32.0,14,5,2542,17,8,2634,31,13,5312
65,João Pedro,Avant-Centre,21,32.0,4,1,1710,11,4,2791,34,11,9609
66,Kaoru Mitoma,Ailier Gauche,26,32.0,8,4,1742,10,8,2910,50,34,8571
67,Pedro Gonçalves,Ailier Gauche,25,32.0,15,14,2932,20,15,4230,74,46,16965
68,Marcus Thuram,Avant-Centre,26,32.0,3,1,1035,16,7,2698,63,35,16173
69,Miguel Almirón,Ailier Droit,29,32.0,1,0,1756,11,4,2939,51,34,20897
70,Allan Saint-Maximin,Ailier Gauche,26,32.0,5,5,2915,1,5,1374,28,40,18202
71,Nicolas Jackson,Avant-Centre,22,30.0,7,9,2397,13,5,2117,21,15,5398
72,Nico Williams,Ailier Droit,21,30.0,3,1,1633,9,6,3203,21,19,7286
73,Evan Ferguson,Avant-Centre,18,30.0,10,1,1431,16,5,2081,30,7,4494
74,Noni Madueke,Ailier Droit,21,30.0,9,6,1868,3,0,1116,39,27,7547
75,Folarin Balogun,Avant-Centre,22,30.0,18,6,2328,22,3,3146,102,25,12133
76,Nicolás González,Ailier Gauche,25,30.0,8,9,2698,14,5,2663,56,25,13906
77,Youssoufa Moukoko,Avant-Centre,18,30.0,3,2,482,7,6,1597,155,35,9931
78,Martin Terrier,Ailier Gauche,26,30.0,21,7,3379,12,5,1719,69,26,15154
79,Ademola Lookman,Deuxième Attaquant,25,30.0,8,5,2349,15,8,1857,50,26,13107
80,Ferran Torres,Ailier Droit,23,30.0,10,7,2584,7,3,1884,40,30,12602
81,Malcom,Ailier Droit,26,30.0,9,8,2598,26,9,2729,81,48,20562
82,Marcus Edwards,Ailier Droit,24,30.0,11,7,2257,12,14,3602,51,47,15390
83,Mattia Zaccagni,Ailier Gauche,28,30.0,7,7,2707,10,10,3517,36,46,21335
84,Ángel Correa,Ailier Droit,28,30.0,13,6,2424,10,4,1928,81,76,23889
85,Paulo Dybala,Deuxième Attaquant,29,30.0,15,6,2614,18,8,2502,163,72,29952
86,Sébastien Haller,Avant-Centre,29,30.0,34,9,3493,9,5,1443,164,62,27997
87,Robert Lewandowski,Avant-Centre,34,30.0,50,7,4006,33,8,3954,542,143,59712
88,Armando Broja,Avant-Centre,21,28.0,9,1,2335,1,1,465,42,10,8130
89,Pedro Neto,Ailier Droit,23,28.0,1,1,463,1,1,1089,14,14,6979
90,Jérémy Doku,Ailier Droit,21,28.0,2,2,698,7,4,1615,18,18,7751
91,Leon Bailey,Ailier Gauche,26,28.0,1,2,754,5,4,2123,60,53,18355
92,Donyell Malen,Ailier Droit,24,28.0,9,6,2312,10,8,2191,108,52,17318
93,Emiliano Buendía,Ailier Droit,26,28.0,4,6,2070,5,3,2494,50,65,21181
94,Aleksandar Mitrovic,Avant-Centre,28,28.0,43,7,3961,15,4,2227,197,48,32453
95,Endrick,Avant-Centre,17,25.0,12,1,1082,7,1,1510,19,2,2592
96,Dango Ouattara,Ailier Droit,21,25.0,2,2,1136,7,9,2797,9,11,4113
97,Alejandro Garnacho,Ailier Gauche,19,25.0,15,6,2147,6,6,1447,28,16,4518
98,Boulaye Dia,Avant-Centre,26,25.0,7,6,1651,16,6,2523,68,16,12380
99,Beto,Avant-Centre,25,25.0,13,0,2601,10,2,2195,48,6,9037
100,Santiago Gimenez,Avant-Centre,22,25.0,9,2,2176,28,3,3027,62,14,12009
101,Pepê,Ailier Gauche,26,25.0,6,6,2121,5,10,4259,43,36,14952
102,Matheus Cunha,Avant-Centre,24,25.0,7,7,1342,2,3,1564,41,30,10673
103,Kevin Schade,Ailier Droit,21,25.0,7,2,1084,1,3,1044,35,22,9091
104,David Neres,Ailier Droit,26,25.0,4,2,785,12,16,2988,65,58,14676
105,Takefusa Kubo,Ailier Droit,22,25.0,2,3,1769,9,9,2916,30,28,13132
106,Samuel Chukwueze,Ailier Droit,24,25.0,7,3,1767,13,11,3262,41,33,13456
107,Tetê,Ailier Droit,23,25.0,12,7,2383,7,5,2107,40,25,9266
108,Arnaut Danjuma,Ailier Gauche,26,25.0,16,4,2382,8,0,1011,75,36,14240
109,Eddie Nketiah,Avant-Centre,24,25.0,10,1,1283,9,3,1859,84,17,10687
110,Hirving Lozano,Ailier Droit,28,25.0,6,6,1997,4,4,2075,113,71,26280
111,Christian Pulisic,Ailier Droit,24,25.0,8,5,2208,1,2,1012,59,60,17631
112,Dominic Calvert-Lewin,Avant-Centre,26,25.0,5,2,1331,2,1,1196,72,22,16034
113,Marco Asensio,Ailier Droit,27,25.0,12,2,2111,12,8,1996,72,56,21466
114,Taiwo Awoniyi,Avant-Centre,26,25.0,20,5,2892,11,1,1570,72,25,13836
115,Saïd Benrahma,Ailier Gauche,28,25.0,11,6,2881,12,5,3032,76,56,19592
116,Iñaki Williams,Avant-Centre,29,25.0,8,6,3291,11,5,3240,107,58,30482
117,Enes Ünal,Avant-Centre,26,25.0,16,1,2806,15,5,3213,93,26,19637
118,Patrik Schick,Avant-Centre,27,25.0,24,5,2229,4,1,1532,81,19,14699
119,Sadio Mané,Ailier Gauche,31,25.0,23,5,3938,12,6,2204,204,101,37877
120,Timo Werner,Avant-Centre,27,25.0,11,6,2215,16,6,2819,206,91,31877
121,Yannick Carrasco,Ailier Gauche,29,25.0,6,7,3302,10,5,2842,91,85,28531
122,Antoine Griezmann,Deuxième Attaquant,32,25.0,8,7,2520,16,19,3625,244,111,48873
123,Karim Benzema,Avant-Centre,35,25.0,44,15,3915,31,6,3631,423,194,57609
124,Benjamin Sesko,Avant-Centre,20,24.0,11,7,1570,18,4,2574,61,18,7390
125,Gonçalo Guedes,Ailier Gauche,26,23.0,13,6,3092,4,1,1452,66,65,21882
126,Kamaldeen Sulemana,Ailier Gauche,21,22.0,5,3,1424,3,3,1503,22,14,6008
127,Evanilson,Avant-Centre,23,22.0,21,5,3002,10,9,2182,54,16,8210
128,Julio Enciso,Deuxième Attaquant,19,22.0,11,3,1328,7,4,1461,28,12,5667
129,Arnaud Kalimuendo,Avant-Centre,21,22.0,13,0,2402,7,5,2231,40,12,6997
130,Luis Sinisterra,Ailier Gauche,24,22.0,23,14,4029,7,1,1017,54,35,12881
131,Pedro,Avant-Centre,26,22.0,29,10,3214,27,4,2681,115,26,14139
132,Jack Harrison,Ailier Gauche,26,22.0,10,2,2918,6,10,3010,48,43,20743
133,Gianluca Scamacca,Avant-Centre,24,22.0,16,1,2309,8,0,1342,63,7,11717
134,Steven Bergwijn,Ailier Gauche,25,22.0,4,2,871,16,6,3483,75,64,20382
135,Viktor Tsygankov,Ailier Droit,25,22.0,11,4,2052,12,12,3581,98,71,19759
136,Rafa,Ailier Gauche,30,22.0,12,18,3363,14,14,3672,109,83,31979
137,Solly March,Ailier Droit,29,22.0,0,2,1921,8,8,3252,25,31,17520
138,Wilfried Zaha,Ailier Droit,30,22.0,15,2,3122,7,3,2384,91,77,37980
139,Gift Orban,Avant-Centre,21,20.0,19,7,1792,20,2,1670,44,9,3790
140,Mathys Tel,Avant-Centre,18,20.0,9,0,794,6,0,600,15,0,1465
141,Hugo Ekitiké,Avant-Centre,21,20.0,11,5,1462,4,4,1395,24,11,4512
142,Dwight McNeil,Ailier Gauche,23,20.0,0,1,3278,7,3,2636,14,20,14929
143,Terem Moffi,Avant-Centre,24,20.0,8,4,2754,21,3,3063,70,11,12065
144,Amine Adli,Ailier Droit,23,20.0,4,4,1928,7,6,1835,21,20,7605
145,Galeno,Ailier Gauche,25,20.0,11,3,2258,15,9,3469,64,60,18823
146,Youssef En-Nesyri,Avant-Centre,26,20.0,5,3,1582,18,2,2878,74,10,14300
147,Ismaïla Sarr,Ailier Droit,25,20.0,5,2,1861,10,6,3181,57,46,19035
148,Arthur Cabral,Avant-Centre,25,20.0,29,10,3404,17,2,2549,95,23,14516
149,Noah Okafor,Avant-Centre,23,20.0,14,11,1692,10,5,1844,57,32,12383
150,Ché Adams,Avant-Centre,27,20.0,8,3,2143,10,3,2369,87,33,20882
151,Cengiz Ünder,Ailier Droit,26,20.0,13,6,3319,5,6,2924,57,43,19273
152,Jonathan Bamba,Ailier Gauche,27,20.0,1,4,3081,6,7,2872,44,50,21980
153,Demarai Gray,Ailier Gauche,27,20.0,6,5,2640,6,1,2715,38,32,19273
154,Borja Iglesias,Avant-Centre,30,20.0,19,1,2775,15,5,2650,172,21,28634
155,Ricardo Horta,Ailier Gauche,28,20.0,23,10,4316,17,10,3792,121,62,29687
156,Dominic Solanke,Avant-Centre,25,20.0,30,7,4186,7,7,3052,103,35,19977
157,Daniel Podence,Ailier Gauche,27,20.0,6,3,1799,6,1,1924,42,47,19670
158,Gabriel Barbosa,Avant-Centre,26,20.0,29,5,4972,19,4,3453,183,51,28506
159,Breel Embolo,Avant-Centre,26,20.0,11,6,2283,14,4,2231,89,55,19800
160,Gerard Moreno,Avant-Centre,31,20.0,13,6,1910,11,6,1718,170,55,30468
161,Riyad Mahrez,Ailier Droit,32,20.0,24,9,2931,15,13,3068,137,110,33487
162,Álvaro Morata,Avant-Centre,30,20.0,12,9,3203,15,3,2496,195,77,31405
163,Mauro Icardi,Avant-Centre,30,19.0,5,0,1302,23,8,2004,226,51,29740
164,Bradley Barcola,Ailier Droit,20,18.0,3,6,1405,7,10,2128,12,18,4353
165,Wilfried Gnonto,Ailier Gauche,19,18.0,10,5,1532,6,5,2761,34,21,7448
166,Iliman Ndiaye,Deuxième Attaquant,23,18.0,7,2,2169,15,12,4107,22,15,6429
167,Vitinha,Avant-Centre,23,18.0,14,4,2156,15,6,2332,43,10,6992
168,Anthony Elanga,Ailier Gauche,21,18.0,8,5,2346,0,2,702,30,21,7713
169,Armand Laurienté,Ailier Gauche,24,18.0,6,2,2570,8,7,2458,30,21,9950
170,Adam Hlozek,Avant-Centre,21,18.0,12,15,4042,7,6,1997,57,43,13446
171,Georginio Rutter,Avant-Centre,21,18.0,8,5,1814,3,4,1755,21,11,5694
172,Amad Diallo,Ailier Droit,21,18.0,5,1,749,14,4,3105,62,33,10778
173,Patrick Wimmer,Ailier Droit,22,18.0,3,10,2185,4,8,1850,17,28,8161
174,Manor Solomon,Ailier Gauche,24,18.0,4,2,1472,5,0,827,35,15,11190
175,Yoane Wissa,Ailier Gauche,26,18.0,10,2,1580,7,3,1715,75,30,16315
176,Jesper Karlsson,Ailier Gauche,25,18.0,21,16,4467,13,8,2478,106,56,21156
177,Patson Daka,Avant-Centre,24,18.0,11,4,1981,4,4,1414,91,42,12431
178,Moise Kean,Avant-Centre,23,18.0,6,3,1434,8,0,1439,90,11,12285
179,Ritsu Doan,Ailier Droit,25,18.0,11,3,2224,7,7,3308,55,31,18187
180,Habib Diallo,Avant-Centre,28,18.0,12,2,1669,20,1,3000,107,27,18025
181,Nicolas Pépé,Ailier Droit,28,18.0,3,6,951,8,1,2142,86,44,19203
182,Nathan Tella,Ailier Droit,24,18.0,2,3,1233,19,5,2843,35,19,8437
183,Umar Sadiq,Avant-Centre,26,18.0,19,12,3158,3,0,370,126,53,17963
184,Mehdi Taremi,Avant-Centre,31,18.0,26,17,3596,31,14,3822,179,85,25964
185,Kelechi Iheanacho,Avant-Centre,26,18.0,8,9,2211,8,5,1435,82,46,12683
186,Domenico Berardi,Ailier Droit,29,18.0,15,17,2894,13,7,1962,140,92,29302
187,Roberto Firmino,Avant-Centre,31,18.0,11,5,1803,13,5,1710,171,115,39450
188,Marcos Leonardo,Avant-Centre,20,17.0,21,6,4564,15,4,2660,48,11,9701
189,Sheraldo Becker,Deuxième Attaquant,28,17.0,6,9,2407,12,10,3749,45,57,21746
190,Samuel Lino,Ailier Gauche,23,16.0,14,5,3123,8,3,3161,35,8,9360
191,Mateo Retegui,Avant-Centre,24,16.0,23,3,2955,12,1,2357,49,9,9426
192,Yuri Alberto,Avant-Centre,22,16.0,18,6,3138,10,7,3508,59,19,12727
193,Ben Brereton Díaz,Ailier Gauche,24,16.0,22,3,3247,16,4,3904,58,23,15302
194,Jonathan Ikoné,Ailier Droit,25,16.0,3,4,2274,6,8,3060,33,39,17890
195,Harry Wilson,Ailier Droit,26,16.0,11,21,3591,3,5,1413,86,68,20560
196,Hakim Ziyech,Ailier Droit,30,16.0,8,6,2489,0,3,928,125,137,33927
197,Gaëtan Laborde,Avant-Centre,29,16.0,20,8,3718,18,4,3619,120,41,25782
198,Callum Wilson,Avant-Centre,31,16.0,8,0,1389,18,5,2257,131,49,25605
199,Luiz Henrique,Ailier Droit,22,15.0,5,7,2378,3,7,2472,17,21,9317
200,Abde Ezzalzouli,Ailier Gauche,21,15.0,4,7,2143,6,2,1903,12,9,5054
201,Talles Magno,Ailier Gauche,21,15.0,11,8,3316,3,2,1710,22,14,10223
202,Sofiane Diop,Ailier Gauche,23,15.0,9,7,2590,3,4,1700,24,15,10293
203,Bryan Gil,Ailier Gauche,22,15.0,0,2,1863,2,4,1666,13,19,8605
204,Taty Castellanos,Avant-Centre,24,15.0,17,6,2114,14,1,2768,78,28,14781
205,Krépin Diatta,Ailier Droit,24,15.0,2,0,531,5,6,2749,36,25,12714
206,Crysencio Summerville,Ailier Droit,21,15.0,7,1,1044,5,6,1834,31,25,9806
207,Trincão,Ailier Droit,23,15.0,3,1,1379,13,4,3395,33,25,10853
208,Callum Hudson-Odoi,Ailier Gauche,22,15.0,3,6,1876,1,1,1074,48,41,12452
209,Kerem Aktürkoglu,Ailier Gauche,24,15.0,13,13,4000,10,14,2718,57,35,14749
210,Mike Trésor,Ailier Gauche,24,15.0,0,8,1531,8,24,3589,33,54,11795
211,Alexis Saelemaekers,Ailier Droit,24,15.0,2,3,2490,4,3,1838,12,25,12300
212,Sasa Kalajdzic,Avant-Centre,26,15.0,6,2,1220,0,3,282,51,28,8776
213,Odsonne Edouard,Avant-Centre,25,15.0,9,5,2285,7,2,1947,110,45,18149
214,Artem Dovbyk,Avant-Centre,26,15.0,14,5,1519,29,8,3437,79,17,11405
215,Noa Lang,Ailier Gauche,24,15.0,9,15,3769,12,8,2854,77,58,17932
216,Álex Berenguer,Ailier Gauche,28,15.0,4,7,2596,7,4,2706,35,40,18217
217,Andrea Pinamonti,Avant-Centre,24,15.0,13,2,2915,5,1,2172,75,16,14834
218,Giovanni Simeone,Avant-Centre,28,15.0,17,6,2669,9,1,765,96,26,20655
219,Vedat Muriqi,Avant-Centre,29,15.0,5,4,1913,16,4,3073,104,32,22990
220,Jacob Murphy,Ailier Droit,28,15.0,1,2,1517,4,2,1459,61,57,23220
221,André Silva,Avant-Centre,27,15.0,17,8,3219,9,9,2582,144,53,26296
222,Anthony Martial,Avant-Centre,27,15.0,2,1,1040,9,3,1441,104,62,23618
223,Matteo Politano,Ailier Droit,30,15.0,5,7,1906,4,4,1626,86,48,28936
224,Felipe Anderson,Ailier Droit,30,15.0,7,8,3590,12,9,3923,72,83,28695
225,Wissam Ben Yedder,Avant-Centre,33,15.0,32,7,3554,25,7,2913,241,76,33301
226,Ciro Immobile,Avant-Centre,33,15.0,32,4,3357,14,7,2736,318,73,40883
227,Cristiano Ronaldo,Avant-Centre,38,15.0,24,3,3217,17,4,2752,721,225,79515
228,Jamie Bynoe-Gittens,Ailier Gauche,19,14.0,11,4,1426,3,1,667,15,6,2208
229,Kyogo Furuhashi,Avant-Centre,28,14.0,20,5,2158,34,5,3205,122,47,20286
230,Andreas Skov Olsen,Ailier Droit,23,14.0,6,11,1929,9,7,1971,72,31,12645
231,Jonas Wind,Avant-Centre,24,14.0,16,7,3302,6,0,1375,86,29,14498
232,Timothy Weah,Ailier Droit,23,14.0,3,5,1888,0,2,1940,23,10,7801
233,Abel Ruiz,Avant-Centre,23,14.0,5,3,2120,12,7,3156,42,23,12713
234,Justin Kluivert,Ailier Gauche,24,14.0,6,6,2159,8,2,1674,55,49,15498
235,Vangelis Pavlidis,Avant-Centre,24,14.0,25,7,3883,22,14,3124,114,58,20191
236,Nuno Santos,Ailier Gauche,28,14.0,10,10,2864,9,9,3373,51,53,19405
237,Serhou Guirassy,Avant-Centre,27,14.0,12,3,1553,14,2,2044,80,14,14897
238,Jérémie Boga,Ailier Gauche,26,14.0,2,4,1746,2,5,899,43,29,17494
239,Memphis Depay,Avant-Centre,29,14.0,13,2,2495,5,0,520,163,96,28984
240,Alexandre Lacazette,Avant-Centre,32,14.0,6,8,2095,31,6,3198,231,85,36743
241,Pablo Sarabia,Ailier Droit,31,14.0,22,10,3175,1,0,1393,117,84,31702
242,Ângelo,Ailier Droit,18,13.0,2,8,2658,2,1,1466,5,10,5925
243,Mikkel Damsgaard,Ailier Gauche,23,13.0,0,0,613,0,1,1213,19,26,12153
244,Fábio Silva,Avant-Centre,21,13.0,1,3,995,16,6,3351,31,18,7670
245,Rony,Avant-Centre,28,13.0,23,6,4525,12,8,2989,89,53,24714
246,Jota,Ailier Gauche,24,13.0,13,14,3078,15,12,2924,45,45,11755
